timeframe_Start(ms),subjectID,subjectID_origin,subjectMale_1(Female_0),"videoID(carol-1,simon-2)","itemID(1-42,carol1-21,simon22-42)",itemSuccess_1,fixationYes_1,fixationCounts,fixationDuration_ms,eyeLocation_face,eyeLocation_gesture1,eyeLocation_gesture2,eyeLocation_gesture3,eyeLocation_gesture4,eyeLocation_specialGestureWithRhetoricalQuestions,eyeLocation_face,eyeLocation_visualsupports,eyeLocation_other,overallitemScore_carol(range0-21),overallitemScore_simon(range0-21),overallitemScore(range0-42)
22000,1,klt1,0,1,1,0,1,2,1000,1,0,1,0,0,0,1,0,0,15,14,29
23000,1,klt1,0,1,1,0,1,2,500,1,0,0,0,1,0,1,0,0,15,14,29
24000,1,klt1,0,1,1,0,1,3,800,1,0,0,0,0,0,1,0,0,15,14,29
25000,1,klt1,0,1,1,0,1,1,900,1,0,1,1,0,0,1,0,0,15,14,29
26000,1,klt1,0,1,1,0,1,4,600,1,0,0,0,0,0,0,0,0,15,14,29
27000,1,klt1,0,1,1,0,1,3,700,1,0,0,0,1,0,1,0,0,15,14,29
28000,1,klt1,0,1,1,0,1,2,560,1,0,0,0,0,1,1,0,1,15,14,29
29000,1,klt1,0,1,1,0,1,3,562,1,0,1,1,1,1,1,0,0,15,14,29
30000,1,klt1,0,1,1,0,1,5,900,1,0,0,0,0,0,1,0,0,15,14,29
31000,1,klt1,0,1,1,0,1,1,1000,1,1,1,1,0,0,0,0,0,15,14,29
32000,1,klt1,0,1,1,0,1,4,780,0,0,0,0,1,0,0,0,1,15,14,29
33000,1,klt1,0,1,1,0,1,5,620,0,0,0,0,1,0,0,0,1,15,14,29
34000,1,klt1,0,1,1,0,1,3,750,0,1,1,1,1,0,0,0,1,15,14,29
35000,1,klt1,0,1,1,0,1,1,300,0,0,0,1,1,1,0,0,0,15,14,29
36000,1,klt1,0,1,1,0,1,5,870,0,0,0,1,0,0,1,0,1,15,14,29
37000,1,klt1,0,1,1,0,1,2,400,1,0,0,1,0,0,1,0,1,15,14,29
38000,1,klt1,0,1,1,0,1,4,550,0,1,1,0,0,0,1,0,0,15,14,29
39000,1,klt1,0,1,1,0,1,2,400,1,0,0,0,1,1,1,0,0,15,14,29
40000,1,klt1,0,1,1,0,1,2,1000,1,0,0,0,0,0,0,0,0,15,14,29
41000,1,klt1,0,1,1,0,1,2,100,0,0,0,1,0,0,0,0,0,15,14,29
42000,1,klt1,0,1,1,0,1,1,200,0,0,0,0,1,0,0,0,0,15,14,29
43000,1,klt1,0,1,1,0,1,1,300,0,0,0,0,0,0,1,0,0,15,14,29
44000,1,klt1,0,1,1,0,1,3,900,0,0,0,1,1,0,1,0,0,15,14,29
22000,1,klt1,0,1,1,1,1,2,1000,1,0,1,0,0,0,1,0,0,15,14,29
23000,1,klt1,0,1,1,1,1,2,500,1,0,0,0,1,0,1,0,0,15,14,29
24000,1,klt1,0,1,1,1,1,3,800,1,0,0,0,0,0,1,0,0,15,14,29
25000,1,klt1,0,1,1,1,1,1,900,1,0,1,1,0,0,1,0,0,15,14,29
26000,1,klt1,0,1,1,1,1,4,600,1,0,0,0,0,0,0,0,0,15,14,29
27000,1,klt1,0,1,1,1,1,3,700,1,0,0,0,1,0,1,0,0,15,14,29
28000,1,klt1,0,1,1,1,1,2,560,1,0,0,0,0,1,1,0,1,15,14,29
29000,1,klt1,0,1,1,1,1,3,562,1,0,1,1,1,1,1,0,0,15,14,29
30000,1,klt1,0,1,1,1,1,5,900,1,0,0,0,0,0,1,0,0,15,14,29
31000,1,klt1,0,1,1,1,1,1,1000,1,1,1,1,0,0,0,0,0,15,14,29
32000,1,klt1,0,1,1,1,1,4,780,0,0,0,0,1,0,0,0,1,15,14,29
33000,1,klt1,0,1,1,1,1,5,620,0,0,0,0,1,0,0,0,1,15,14,29
34000,1,klt1,0,1,1,1,1,3,750,0,1,1,1,1,0,0,0,1,15,14,29
35000,1,klt1,0,1,1,1,1,1,300,0,0,0,1,1,1,0,0,0,15,14,29
36000,1,klt1,0,1,1,1,1,5,870,0,0,0,1,0,0,1,0,1,15,14,29
37000,1,klt1,0,1,1,1,1,2,400,1,0,0,1,0,0,1,0,1,15,14,29
38000,1,klt1,0,1,1,1,1,4,550,0,1,1,0,0,0,1,0,0,15,14,29
39000,1,klt1,0,1,1,1,1,2,400,1,0,0,0,1,1,1,0,0,15,14,29
40000,1,klt1,0,1,1,1,1,2,1000,1,0,0,0,0,0,0,0,0,15,14,29
41000,1,klt1,0,1,1,1,1,2,100,0,0,0,1,0,0,0,0,0,15,14,29
42000,1,klt1,0,1,1,1,1,1,200,0,0,0,0,1,0,0,0,0,15,14,29
43000,1,klt1,0,1,1,1,1,1,300,0,0,0,0,0,0,1,0,0,15,14,29
44000,1,klt1,0,1,1,1,1,3,900,0,0,0,1,1,0,1,0,0,15,14,29
